text,label
фу копипаст),0
в дубаи от 220 и выше но я хз кто за такие копейки там будет работать тем более мидлом,0
"Стажировка то студенческая тема, они всё занимают как правило на летних каникулах, или после курсов",0
С телефона происходит всякая дичь,0
А сколько получают hr в айти?,0
@sergey_kondrashevsky только js,0
"#candidate #кандидат #russia #remote #ukraine #work #ищуработу #developer 

2 разработчика ищут работу (для найма - не аутстафф)!

Меня зовут Мария, я - рекрутёр. Готовы передать CV разработчиков для найма за бонус. Кого предлагаем:

👉Middle FrontEnd Developer (JS, Node.js, React.js, Vue, Typescript, Git, HTML, CSS, Angular и т.д.) - хочет ЗП 1600$/месяц

👉Senior Full Stack Developer (HTML5 (Pug) + CSS3 (Sass, BEM, SMACSS, Bootstrap, Flexbox); JS (jQuery, ES6, AJAX,  JSON, Vue.js); PHP + MySQL (OOP, CMS WordPress, Laravel); Git (GitLab, GitHub, Bitbucket); HTML-Letter) - хочет ЗП 4000$/месяц

За подробностями в лс - @maryjane888",0
"очень интересная информация, а тут она зачем?",0
Фуллстек за 20тыс? Рилли?,0
вот тогда посмеемся),0
"#резюме #ищу #frontend #junior #react #redux #js #nodejs #express #mongo #sql

Формат работы: удаленка 


Занятость:полная, частичная

Ожидания по зарплате: от 40 тыс. руб.

Контакты: @kakos991


Обо мне: Программировал около полу года. Верстал достаточно много страничек, так же писал мини проекты на react, js.


Основной стек: react/redux, node js


Git lab : https://gitlab.com/users/nikita_agusha/projects


Frontend:
HTML5
Css3
Js
Jquery
React 
Redux
Bootstrap 


Backed:
Node js 
Express js 
Mongo db
Multer",0
"а, еще и мертвый win. mobile)",0
"ок, удалю",0
Что с vue стало? куда все вакансии пропали?,0
"Завтра состоится наш митап в МегаФон. 

http://getitcommunity.com/

Программа крутая и еще есть возможность зарегистрироваться:
- «Как оценивать софт скиллы при найме людей в команду»
Евгений Сугробов - HRD Banki.ru

- «Как выстроить работу с удаленной
командой» - Дарья Афанасьева - Руководитель проекта ""Олимпиада"" Skyeng

- «Тим-лид как Заказчик, как строить работу с HR и давать фидбеки по подбору специалистов в команду» - Светлана Стаканова - HR менеджер и Мария Трофимова - Руководитель по архитектуре и интеграционным решениям корпоративного хранилища данных

- «Зачем разработчику персональный бренд» - Антон Пальгунов – Senior Frontend Engineer (London) и Юлия Великанова – Employer Brand Manager

- «Как тим-лиду выстроить эффективную коммуникацию в команде» - Виталий Шароватов - Ex Head of Front-end Badoo (London)",0
"Я и не говорю о том, что такие люди плохие или что-то ещё. Я говорю, что резюме с пруфами в виде такого сертификата , это мягко говоря заставляет задуматься  о том стоит ли вообще кидать резюме или нет. Так мало того он ещё и чужое скопировал, с чужим стеком. А то щас каждый получит этот сертификат и уже считай Джун...",0
"@bangdbang , update",0
не сужаются а усложняются,0
"А у меня немного по другому, сначала мне дают тестовое, я его выполняю, а потом про меня забывают
Хотя тестовое сделано аккуратно и работает правильно 
Было даже указано что нужно сделать на js, а я беру выше и пишу на TS",0
"Только Евгению 😄 Но если очено хочется, то могу угостить пончиком 🍩",0
"Ахахаха, вот мы и установили закономерную цепочку😂",0
"Раз в сутки значит раз в сутки для всех, если будете нарушать - подучите ограничения на постинг",0
"Знаю несколько историй успеха трудоустройства 40+ джунов, в хорошие компании",0
Программирование.,0
чат тут не причем,0
"достаточно простого интернет магазинчика (даже не с полноценным функционалом), сделать его адаптивным, подключить какой нить редакс или мобх. Магаз должен слать запросы на серв и выводить список товаров, сделать корзину, типа кликаешь и отправляешь товар в корз, сделать просмотр корзины ну и такое простенькое. Имхо это минимум для джуна. Пусть проект не будет с супер красивой версткой, просто покажи что ты можешь в плане функционала. Пс устроился джуном месяц назад. Вот с этим проектом https://github.com/feelren/beer-shop",0
зачем вы пишете если вы ни одного собеседования не прошли? если вы работаете то у вас на гитхабе ничег оне будет потому что на работе корпоративный гитлаб или сорт оф,0
Кажется вы перепутали меня с другим участником этого канала,0
"учился по курсам, потом сам нашёл работу.",0
"да, прстите",0
"Не, не по адресу товарищ майор",0
может для джуна из Минска есть какие вакансии?,0
Мне впору людей лечить а не программировать,0
"для этого и существует ДО, можно дописать, - готовы предложить больше чем от до, если кандидат выше ваших требований",0
"в одиночку работаь всегда лучше, никто не доебывает",0
Новый ковид уже создадут и гуманно решат эту маленькую проблему,0
"#резюме

Я ищу работу

Имя: Дулат
Специалист: Frontend разработчик
Формат работы: офис, удаленка, гибкий график, полный день
Занятость: полная, частичная, стажировка
Ожидания по зарплате: от 100 000 тг
Контакты: @Dulat_11_10
Навыки: HTML 5, CSS 3, Bootstrap, Javascript, Java
Языки: Английский язык  - Upper-Intermediate B2, Русский, Казахский
Регион: Казахстан, Алматы",0
"Спасибо, что 2020 год провели вместе с нами! 💙 Поздравляем вас с наступающим 2021 годом 🥂🎉",0
"вы чатом ошиблись, тут не java",0
"я не 10 собесов прошел, рука набита и я знаю когда даже не стоит связываться с конторой",0
!бан,0
hm hop qariman,0
Прям шрифт,0
Поддерживаю,0
Elizaveta тут только js,0
"Так ведь не для Сан Франциско, а для тех кто поведется на это",0
А их много? На сколько важно чтобы был state manager?,0
"#резюме #ищу #ios #swift #remote #офис
Формат работы: Офис или удаленно
Занятость: Любая
Город: Брест(живу) в целом вся Беларусь или удаленно ,РФ,Украина
Ожидания по зарплате:50 000р - 60 000р

Ios разработчик с опытом самостоятельной разработки. Имеется опыт в прошлом в веб разработке. Постоянно изучаю новое.
Резюме: https://rabota.by/resume/563cc7cbff029f1b770039ed1f366877685653
My github: https://github.com/ril10",0
@WebpageBot,0
"Здесь требования с английским прошу высокие, т.к. стартап очень крутой, плюс это именно образовательная платформа, где нужен и фронтенд, что на мой взгляд достаточно логично, что нужно уметь хорошо говорить, читать, писать 🙂",0
"#ищу #android #java #middle #удаленка

Формат работы: удаленно

Занятость: полная

Ожидания по зарплате: от 1600 $ (~120 000 ₽)

Опыт коммерческой работы: 3 года

Стек: java, kotlin(~2 месяца), rxjava, dagger2, mvvm(mvi)(~2 месяца), mvp, dataBinding, viewbinding, Android Architecture Components (ViewModel и LiveData), material components, retrofit, gson, git, room, lazy load, клиент серверные приложения, работа с системой звонков андроид устройств, сложные ui дизайны, exoplayer, firebase push notifications, glide, picasso, google maps sdk, tinkoff payment sdk, yandex payment sdk, 2d graphics libgdx, построение приложения с офлайн режимом и синхронизацией данных с бэкендом, websocket, websocket chat(со статусами, отправкой медиа файлов), google, facebook, vk login sdk, webview, работа с BLE(Bluetooth Low Energy), camera api.

Более подробно: @abror_abbasov",0
подростешь пройдет,0
Исправил,0
О самурай👍,0
"ну так и начните с синтаксиса
с learnjavascript",0
"Если следующее сообщение не будет вакансией с вилкой то я выдам вам рид онли на сутки, спасибо за понимание",0
благодарю!,0
вы б свою вакансию тегами обклеили,0
"Мы стартовали 💥
Ждем вас на нашем YouTube канале
https://youtu.be/pVRiCm4v6hA",0
Danil тут только js,0
"ну, меня сейчас вот затраты времени на Dart (он тоже простой), но, точнее, на Flatter - где парадигма меняется и всё явзяется виджетом (а в UNIX - файлом, а в Винде - окном) ))",0
Ебаные,0
"Вообщем я понял, надо делать много откликов и искать работу неофициально",0
"По поводу этой вилки, если у Вас хороший опыт и знания, могу доровориться и о больше.",0
"С таким можно в Майкрософт, ie пилить",0
"Сейчас я себе тоже сеньор напишу, буду сеньором =)",0
"#ищу #ищем #резюме #android #kotlin #fulltime #parttime #удаленка #remote #проектная #senior #team #ios #swift #objectivec #аутсорс #аутстафф #резюме

Полностью укомплектованная студия мобильной нативной разработки. Работаем с 2015 года. Ищем проекты/варианты аутсорса и аутстаффа. 
- 5 iOS разрабочиков (1 Senior/Lead 6 лет опыта, 4 Middle) 
- 3 Android разработчика (1 Senior/Lead 6 лет опыта, 2 Middle)

Сейчас есть свободные ресурсы по Android!

Сайт: wearemad.ru, wearemadstudio.com
Полное портфолио (NDA на некоторые проекты) по запросу.

Стоимость часа: 1200-2000р/час (в зависимости от нужного уровня разработчика)

Формат работы: удаленная работа с полной или частичной занятостью, проектная работа. Все варианты обсуждаются.

Стеки: 
- Kotlin/Java/Android SDK
- Swift/Objective-C/iOS SDK

Контакты: 
iOS: @maximality Android: @toolazytoinvent
Mail: team@wearemad.ru",0
В таких случаях норм компания хотябы компенсирует амортизацию),0
ты бы какие курсы посоветовал?,0
"возможно для уверенных мидлов хорошая позиция - сидят работают. но для решения вопросов очка довольно часто лучше, особенно если какие-то конфликтные или сложные вопросы решаются.",0
"Имхо лучше хорошее резюме на НН или хабр карьере + гит с описанием проектов, как запустить собрать и тд.",0
"Банально автотесты нужны чтобы проверить, что после добавление фичи, остальные по прежнему нормально функционируют, согласен, опытный кодер будет самостоятельно проверять что все хорошо работает, нежели писать какие то непонятные тесты и тратить время",0
Вот это и обсудим. Там много всего будет. Я подготовлюсь.,0
Идите в личку.,0
Редакс это отдельная либа которая никак от реакта не зависит,0
Или даже выше,0
"Пригласили независимого QA эксперта Алексея Виноградова поговорить про релокейт в Германию.

Эфир пройдет на нашем YouTube канале в четверг в 20:00

Обсудим: 
- Почему именно Германия, где искать работу?
- Как живется QA в Германии, какие зарплаты и условия работы?
- Как устроено собеседование QA за рубежом? 
- Что нужно, чтобы устроиться на работу, какая виза, какой опыт?
- Какие технологии QA в приоритете, есть ли практика обучения сотрудников?
- Развиты ли в Германии сообщества QA разработчиков. Как создать свое на примере QA Radio
- Источники для прокачки скиллов

Если вы хотите получить напоминание об эфире - оставьте почту. 

Или переходите на наш YouTube канал 12 ноября в 20:00",0
"0_о

Кто пишет такие посты — не напишет КаЧеСтВеНнЫй оффер",0
"Для вкатывальщиков я думаю самое важное даже не основы реакта, а основы программирования, которые успешно пропущены тут
Автор пишет код вообще на пофиг, вещи никакие не инкапсулирует, не разделяет, не реюзает, не пытается красиво в общем
Что это даст начинающему? И главное какое впечатление сложится
“ну вот чел курс сделал, он крутой, значит он круто пишет, значит так делают в реальности, значит буду так же делать”
Переучивать таких соответственно не очень удобно и процесс долгий",0
